epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.144,0.69332,1.56209,1.23557,0.20504,0.37054,0.2604,0.10062,1.85273,4.81946,2.97771,0.000414272,0.000414272,0.000414272
2,212.103,0.78753,1.31409,1.28349,0.26591,0.42905,0.25869,0.16797,1.25473,2.67251,1.9868,0.000822712,0.000822712,0.000822712
3,328.62,0.77697,1.28546,1.27411,0.45123,0.54044,0.46765,0.24218,1.49895,2.02512,2.57087,0.0012229,0.0012229,0.0012229
4,444.972,0.71378,1.15572,1.22721,0.59769,0.635,0.65979,0.55497,0.64183,1.21221,1.33812,0.00121287,0.00121287,0.00121287
5,557.623,0.68871,1.11801,1.20299,0.71694,0.67418,0.75544,0.6533,0.58586,1.00924,1.25573,0.0012005,0.0012005,0.0012005
6,670.179,0.65559,1.05202,1.17734,0.70372,0.63875,0.75708,0.63765,0.58585,1.10791,1.25835,0.00118812,0.00118812,0.00118812
7,780.427,0.63718,1.01142,1.1676,0.74721,0.73039,0.81139,0.72508,0.51196,0.9157,1.16409,0.00117575,0.00117575,0.00117575
8,895.895,0.63078,0.98124,1.16367,0.74311,0.74181,0.81203,0.71803,0.53946,0.93152,1.20204,0.00116337,0.00116337,0.00116337
9,1006.23,0.5898,0.914,1.14172,0.842,0.73974,0.85999,0.76192,0.50765,0.72463,1.15787,0.001151,0.001151,0.001151
10,1120.73,0.57897,0.91144,1.13302,0.83144,0.82113,0.87781,0.78906,0.47005,0.66281,1.12738,0.00113863,0.00113863,0.00113863
11,1235.38,0.57173,0.89019,1.12473,0.73056,0.78176,0.88866,0.81201,0.44393,0.91541,1.09687,0.00112625,0.00112625,0.00112625
12,1350.69,0.56164,0.8531,1.11674,0.8555,0.79037,0.89667,0.82051,0.44752,0.60822,1.09389,0.00111388,0.00111388,0.00111388
13,1467.7,0.55695,0.84245,1.11211,0.86746,0.79825,0.92022,0.84108,0.43811,0.61349,1.09394,0.0011015,0.0011015,0.0011015
14,1584.81,0.544,0.81536,1.10264,0.84306,0.87979,0.92864,0.86059,0.41303,0.54143,1.05462,0.00108913,0.00108913,0.00108913
15,1701.55,0.54203,0.79318,1.10833,0.86305,0.8023,0.92665,0.85821,0.41405,0.58881,1.06512,0.00107675,0.00107675,0.00107675
16,1811.79,0.53814,0.77155,1.10229,0.87473,0.80429,0.92754,0.84916,0.42629,0.60188,1.08683,0.00106437,0.00106437,0.00106437
17,1922.01,0.52426,0.75658,1.08965,0.88229,0.88565,0.94773,0.87663,0.40379,0.48034,1.04783,0.001052,0.001052,0.001052
18,2037.67,0.50571,0.7339,1.08098,0.87646,0.88981,0.94738,0.87922,0.38975,0.50717,1.04324,0.00103962,0.00103962,0.00103962
19,2153.9,0.50827,0.71984,1.08183,0.87665,0.86913,0.94183,0.87514,0.39946,0.48723,1.04683,0.00102725,0.00102725,0.00102725
20,2264.32,0.5039,0.71098,1.08021,0.9011,0.83164,0.9462,0.88915,0.37503,0.5012,1.0265,0.00101488,0.00101488,0.00101488
21,2380.53,0.49881,0.7037,1.07365,0.89719,0.89003,0.95685,0.90143,0.37868,0.43247,1.03499,0.0010025,0.0010025,0.0010025
22,2495.31,0.49443,0.69384,1.07308,0.90776,0.86893,0.95916,0.89334,0.39738,0.45968,1.04688,0.000990125,0.000990125,0.000990125
23,2605.43,0.50071,0.67348,1.07749,0.91046,0.87473,0.95606,0.89438,0.40505,0.45108,1.04238,0.00097775,0.00097775,0.00097775
24,2715.56,0.50263,0.68403,1.08055,0.85961,0.84948,0.94054,0.88446,0.38599,0.53707,1.03551,0.000965375,0.000965375,0.000965375
25,2825.86,0.47997,0.66126,1.06449,0.87862,0.88624,0.95806,0.89322,0.4033,0.47015,1.04407,0.000953,0.000953,0.000953
26,2935.47,0.48542,0.67704,1.06571,0.90895,0.89856,0.96098,0.90403,0.38214,0.41696,1.03069,0.000940625,0.000940625,0.000940625
27,3051.07,0.47711,0.63262,1.06542,0.85073,0.88667,0.95498,0.90203,0.38174,0.48721,1.02644,0.00092825,0.00092825,0.00092825
28,3161.18,0.47151,0.63353,1.05918,0.9303,0.88377,0.96548,0.91111,0.35869,0.41036,1.0147,0.000915875,0.000915875,0.000915875
29,3276.74,0.47598,0.63182,1.06739,0.93028,0.90837,0.9678,0.91688,0.35347,0.37991,1.01417,0.0009035,0.0009035,0.0009035
30,3403.75,0.46842,0.61524,1.05592,0.92735,0.87059,0.96598,0.9066,0.39283,0.43983,1.04442,0.000891125,0.000891125,0.000891125
31,3529.73,0.46147,0.60682,1.05464,0.89796,0.86215,0.95727,0.89653,0.37897,0.48189,1.02343,0.00087875,0.00087875,0.00087875
32,3655.62,0.45321,0.60068,1.04801,0.92165,0.91382,0.96925,0.91646,0.34755,0.41152,0.99316,0.000866375,0.000866375,0.000866375
33,3775.79,0.46176,0.59625,1.05455,0.93799,0.93302,0.9773,0.93435,0.34313,0.37432,0.99124,0.000854,0.000854,0.000854
34,3896.63,0.45043,0.58174,1.04819,0.93868,0.92148,0.97824,0.93489,0.33207,0.32957,0.98131,0.000841625,0.000841625,0.000841625
